ntree,mtry,sample.fraction,min.node.size,rmse
200,10,0.5,4,152888.132638824
200,12,0.5,4,148054.611258852
200,14,0.5,4,143960.171848535
200,16,0.5,4,142613.496673929
200,18,0.5,4,142053.223697486
200,20,0.5,4,138618.194501871
200,22,0.5,4,140247.887909345
200,24,0.5,4,136961.920533157
200,26,0.5,4,139001.810533247
200,28,0.5,4,137824.539709792
200,30,0.5,4,138094.664969478
200,32,0.5,4,135119.163753037
200,34,0.5,4,132835.037074701
200,36,0.5,4,134233.988448936
200,38,0.5,4,135842.227737133
200,40,0.5,4,135840.093157931
200,42,0.5,4,132528.596589041
200,44,0.5,4,134454.036305763
200,46,0.5,4,133030.274557722
200,48,0.5,4,130143.698094131
200,50,0.5,4,132191.8629001
200,10,0.6,4,147001.829754665
200,12,0.6,4,147696.50311831
200,14,0.6,4,142300.710928579
200,16,0.6,4,141305.955049839
200,18,0.6,4,141428.992436833
200,20,0.6,4,137512.286133426
200,22,0.6,4,137544.926392097
200,24,0.6,4,139544.484353129
200,26,0.6,4,135831.577151966
200,28,0.6,4,134509.786256321
200,30,0.6,4,136133.91791929
200,32,0.6,4,133251.408113615
200,34,0.6,4,132276.347423115
200,36,0.6,4,131393.874008399
200,38,0.6,4,133317.274585126
200,40,0.6,4,133266.364687045
200,42,0.6,4,131055.016264843
200,44,0.6,4,132397.483579498
200,46,0.6,4,128748.914098914
200,48,0.6,4,130821.715768214
200,50,0.6,4,128459.349861269
200,10,0.7,4,147074.717395502
200,12,0.7,4,146156.571289368
200,14,0.7,4,144280.756273389
200,16,0.7,4,138738.929079586
200,18,0.7,4,140786.89595005
200,20,0.7,4,136992.995677259
200,22,0.7,4,136656.711787016
200,24,0.7,4,135740.895823939
200,26,0.7,4,133675.910161693
200,28,0.7,4,134708.580480934
200,30,0.7,4,131277.987494044
200,32,0.7,4,133789.605288126
200,34,0.7,4,132803.479130003
200,36,0.7,4,131071.038866119
200,38,0.7,4,133614.396638448
200,40,0.7,4,130119.392138169
200,42,0.7,4,129796.551555867
200,44,0.7,4,130262.115512463
200,46,0.7,4,128812.258012394
200,48,0.7,4,130448.746269869
200,50,0.7,4,129580.951253396
200,10,0.8,4,142932.680823933
200,12,0.8,4,142974.753230683
200,14,0.8,4,142283.285607308
200,16,0.8,4,141290.973220133
200,18,0.8,4,136510.132198264
200,20,0.8,4,135692.44360791
200,22,0.8,4,138026.349589457
200,24,0.8,4,133677.767043281
200,26,0.8,4,136142.960992595
200,28,0.8,4,133071.056821911
200,30,0.8,4,132523.940990744
200,32,0.8,4,130750.56923183
200,34,0.8,4,130322.519180355
200,36,0.8,4,129516.590122858
200,38,0.8,4,127647.147719621
200,40,0.8,4,129462.921740782
200,42,0.8,4,127998.403086189
200,44,0.8,4,131100.522279668
200,46,0.8,4,129045.279597663
200,48,0.8,4,124208.141142918
200,50,0.8,4,126301.279647067
200,10,0.9,4,146980.012715685
200,12,0.9,4,142353.489523829
200,14,0.9,4,140012.750267931
200,16,0.9,4,141696.656175389
200,18,0.9,4,134711.242400523
200,20,0.9,4,136249.305067751
200,22,0.9,4,133741.487411974
200,24,0.9,4,134462.528235359
200,26,0.9,4,133095.176884224
200,28,0.9,4,131618.139296995
200,30,0.9,4,131929.794052972
200,32,0.9,4,127445.594759724
200,34,0.9,4,130283.735842756
200,36,0.9,4,130572.896527666
200,38,0.9,4,131445.900139988
200,40,0.9,4,127313.014830689
200,42,0.9,4,127719.978651551
200,44,0.9,4,127879.268484842
200,46,0.9,4,125843.584768634
200,48,0.9,4,125953.209093072
200,50,0.9,4,126107.030130875
200,10,1,4,143482.873517019
200,12,1,4,143493.093293083
200,14,1,4,140782.759889051
200,16,1,4,139260.778143072
200,18,1,4,138405.433965195
200,20,1,4,133388.309860335
200,22,1,4,135700.108653308
200,24,1,4,134098.970913251
200,26,1,4,132319.309162647
200,28,1,4,135485.100230128
200,30,1,4,132521.297785316
200,32,1,4,132491.141255251
200,34,1,4,130163.488606422
200,36,1,4,130820.970963518
200,38,1,4,130237.195291207
200,40,1,4,128981.579497399
200,42,1,4,128091.368534693
200,44,1,4,125827.624834503
200,46,1,4,124964.42896405
200,48,1,4,125387.102139637
200,50,1,4,125184.661262182
200,10,0.5,6,149724.832112653
200,12,0.5,6,148523.876896575
200,14,0.5,6,143975.434851788
200,16,0.5,6,144512.68967926
200,18,0.5,6,141780.144682313
200,20,0.5,6,137760.779365217
200,22,0.5,6,139655.678413578
200,24,0.5,6,138890.97414893
200,26,0.5,6,138302.871803935
200,28,0.5,6,136022.852899797
200,30,0.5,6,135795.342473074
200,32,0.5,6,134267.326179643
200,34,0.5,6,135525.763762458
200,36,0.5,6,131636.496211647
200,38,0.5,6,134193.014417009
200,40,0.5,6,133525.054611967
200,42,0.5,6,133371.461978594
200,44,0.5,6,132171.970639829
200,46,0.5,6,131201.622986837
200,48,0.5,6,134157.071431822
200,50,0.5,6,130711.625083897
200,10,0.6,6,150707.820256793
200,12,0.6,6,145404.913145232
200,14,0.6,6,144271.612376354
200,16,0.6,6,144016.528874083
200,18,0.6,6,140437.240868483
200,20,0.6,6,140888.524922559
200,22,0.6,6,134397.875293401
200,24,0.6,6,136779.951729214
200,26,0.6,6,137206.906799774
200,28,0.6,6,137942.770336361
200,30,0.6,6,135522.888208814
200,32,0.6,6,133199.632103
200,34,0.6,6,133466.425542595
200,36,0.6,6,131752.134781677
200,38,0.6,6,131878.808444417
200,40,0.6,6,130030.247374853
200,42,0.6,6,131411.970232511
200,44,0.6,6,129699.768718689
200,46,0.6,6,130065.959627979
200,48,0.6,6,130841.691503766
200,50,0.6,6,130294.562759093
200,10,0.7,6,147902.93365034
200,12,0.7,6,145712.928952359
200,14,0.7,6,144374.379803639
200,16,0.7,6,142614.399779562
200,18,0.7,6,138993.245171185
200,20,0.7,6,136521.848185336
200,22,0.7,6,135889.459029895
200,24,0.7,6,137949.422815036
200,26,0.7,6,135826.481933419
200,28,0.7,6,136238.391611835
200,30,0.7,6,132950.182090674
200,32,0.7,6,135192.06034954
200,34,0.7,6,131976.053410049
200,36,0.7,6,134376.606591376
200,38,0.7,6,132538.784318499
200,40,0.7,6,128471.681912551
200,42,0.7,6,132846.477709973
200,44,0.7,6,129530.425625537
200,46,0.7,6,129473.357267024
200,48,0.7,6,127578.727394735
200,50,0.7,6,129576.450919642
200,10,0.8,6,142958.929429513
200,12,0.8,6,142212.288401905
200,14,0.8,6,140674.740636855
200,16,0.8,6,141158.437432
200,18,0.8,6,139227.167063477
200,20,0.8,6,139963.472313894
200,22,0.8,6,135082.689533886
200,24,0.8,6,133777.619493011
200,26,0.8,6,132348.490819298
200,28,0.8,6,130634.82791886
200,30,0.8,6,131333.954609237
200,32,0.8,6,131560.459788846
200,34,0.8,6,130440.467661279
200,36,0.8,6,128140.585585751
200,38,0.8,6,134146.672462424
200,40,0.8,6,129537.805059794
200,42,0.8,6,129190.905862332
200,44,0.8,6,128792.297346187
200,46,0.8,6,129474.300225415
200,48,0.8,6,127929.611908749
200,50,0.8,6,126207.769405045
200,10,0.9,6,145124.494048385
200,12,0.9,6,141093.7893882
200,14,0.9,6,141034.789418343
200,16,0.9,6,139272.47678346
200,18,0.9,6,136240.708993995
200,20,0.9,6,131268.743768435
200,22,0.9,6,134146.979703811
200,24,0.9,6,134123.259436042
200,26,0.9,6,134211.96895624
200,28,0.9,6,133617.339674483
200,30,0.9,6,131568.511233473
200,32,0.9,6,129844.910524
200,34,0.9,6,131196.869844908
200,36,0.9,6,130975.450154695
200,38,0.9,6,130128.270071668
200,40,0.9,6,128373.497858765
200,42,0.9,6,128795.505935887
200,44,0.9,6,129322.168123597
200,46,0.9,6,128081.180646706
200,48,0.9,6,126255.750034492
200,50,0.9,6,127453.54163519
200,10,1,6,141272.616692226
200,12,1,6,141027.602249296
200,14,1,6,142947.351705376
200,16,1,6,139096.818765191
200,18,1,6,137077.882950993
200,20,1,6,135720.347634935
200,22,1,6,136508.363015011
200,24,1,6,134427.909066425
200,26,1,6,132633.427813508
200,28,1,6,132989.68706125
200,30,1,6,132438.197565502
200,32,1,6,129930.05510128
200,34,1,6,132114.827088452
200,36,1,6,128439.362897108
200,38,1,6,129624.235325901
200,40,1,6,126981.850012481
200,42,1,6,127008.708084197
200,44,1,6,126167.807128294
200,46,1,6,129352.258396083
200,48,1,6,126781.638261288
200,50,1,6,129204.862433902
200,10,0.5,8,149253.699185499
200,12,0.5,8,148428.195086776
200,14,0.5,8,146240.940866548
200,16,0.5,8,144503.018807417
200,18,0.5,8,144192.869055684
200,20,0.5,8,140582.406456213
200,22,0.5,8,139961.566854695
200,24,0.5,8,139582.711299441
200,26,0.5,8,139092.566282344
200,28,0.5,8,137921.913036355
200,30,0.5,8,136863.360218731
200,32,0.5,8,133039.083601297
200,34,0.5,8,135972.648467718
200,36,0.5,8,133885.611744274
200,38,0.5,8,133900.52203992
200,40,0.5,8,132602.181427623
200,42,0.5,8,132338.729408745
200,44,0.5,8,133259.879947677
200,46,0.5,8,130977.927140765
200,48,0.5,8,134486.722606941
200,50,0.5,8,130729.416355827
200,10,0.6,8,151440.610786236
200,12,0.6,8,146515.271170622
200,14,0.6,8,144170.269024627
200,16,0.6,8,142742.251678178
200,18,0.6,8,139378.488376239
200,20,0.6,8,140124.166924184
200,22,0.6,8,139972.124482384
200,24,0.6,8,136649.247725658
200,26,0.6,8,136739.680684208
200,28,0.6,8,138857.134939609
200,30,0.6,8,135277.42308108
200,32,0.6,8,132638.018407673
200,34,0.6,8,132194.120886624
200,36,0.6,8,134106.153093926
200,38,0.6,8,131753.638498094
200,40,0.6,8,130858.39721365
200,42,0.6,8,129726.553322951
200,44,0.6,8,129516.17708343
200,46,0.6,8,130800.002855357
200,48,0.6,8,129231.847733491
200,50,0.6,8,128897.890392982
200,10,0.7,8,148765.118787939
200,12,0.7,8,147863.525461854
200,14,0.7,8,142510.429567048
200,16,0.7,8,140887.548639876
200,18,0.7,8,138661.217717026
200,20,0.7,8,138654.269061236
200,22,0.7,8,138439.086073326
200,24,0.7,8,137097.227510152
200,26,0.7,8,134499.893383482
200,28,0.7,8,133173.280091417
200,30,0.7,8,133428.218381885
200,32,0.7,8,134659.775526694
200,34,0.7,8,131611.036528536
200,36,0.7,8,129333.29582533
200,38,0.7,8,132676.518666594
200,40,0.7,8,129259.253755166
200,42,0.7,8,131198.384683127
200,44,0.7,8,127574.517368627
200,46,0.7,8,130263.953314136
200,48,0.7,8,131229.194506897
200,50,0.7,8,129318.210127694
200,10,0.8,8,148994.820896814
200,12,0.8,8,145481.459108629
200,14,0.8,8,142237.655718368
200,16,0.8,8,138722.312990801
200,18,0.8,8,138849.581753489
200,20,0.8,8,136154.828307621
200,22,0.8,8,136864.996595636
200,24,0.8,8,135320.890283814
200,26,0.8,8,135983.812598336
200,28,0.8,8,132494.485955944
200,30,0.8,8,131136.364063798
200,32,0.8,8,131619.91602298
200,34,0.8,8,131862.250721414
200,36,0.8,8,135798.103895947
200,38,0.8,8,130379.248309389
200,40,0.8,8,129310.365175793
200,42,0.8,8,128105.122774949
200,44,0.8,8,127979.152505815
200,46,0.8,8,128713.554188207
200,48,0.8,8,127903.228869365
200,50,0.8,8,127632.085608644
200,10,0.9,8,145390.577250016
200,12,0.9,8,143442.706053379
200,14,0.9,8,144279.177824993
200,16,0.9,8,138809.482488173
200,18,0.9,8,137575.355667589
200,20,0.9,8,139399.279078338
200,22,0.9,8,134305.383466048
200,24,0.9,8,133602.341622713
200,26,0.9,8,134169.696374205
200,28,0.9,8,131405.9651111
200,30,0.9,8,131459.026144276
200,32,0.9,8,131541.568454307
200,34,0.9,8,130215.139889514
200,36,0.9,8,130340.762571053
200,38,0.9,8,127376.370808225
200,40,0.9,8,129399.641149696
200,42,0.9,8,128713.843205054
200,44,0.9,8,128424.582046546
200,46,0.9,8,127687.666544671
200,48,0.9,8,125494.054433282
200,50,0.9,8,128908.924853058
200,10,1,8,143899.70085953
200,12,1,8,145117.95119586
200,14,1,8,143774.666093576
200,16,1,8,138574.646661312
200,18,1,8,138652.564175755
200,20,1,8,135221.891377687
200,22,1,8,133160.459946734
200,24,1,8,132988.389228169
200,26,1,8,133214.283503181
200,28,1,8,132119.727775271
200,30,1,8,132223.33149984
200,32,1,8,131380.810519744
200,34,1,8,132096.853766821
200,36,1,8,131762.148211618
200,38,1,8,127144.776071836
200,40,1,8,128151.501690846
200,42,1,8,128568.65966687
200,44,1,8,128668.513950546
200,46,1,8,123797.540022932
200,48,1,8,126996.464895608
200,50,1,8,126229.231230929
200,10,0.5,10,152806.044103772
200,12,0.5,10,147222.217847982
200,14,0.5,10,146446.077575253
200,16,0.5,10,144903.915727003
200,18,0.5,10,143212.745182384
200,20,0.5,10,144171.786651438
200,22,0.5,10,144136.255500533
200,24,0.5,10,141381.476469843
200,26,0.5,10,139001.232749264
200,28,0.5,10,138224.428856462
200,30,0.5,10,133258.273958892
200,32,0.5,10,134520.603939542
200,34,0.5,10,135266.82911902
200,36,0.5,10,134301.328063789
200,38,0.5,10,134825.290589083
200,40,0.5,10,133242.247656672
200,42,0.5,10,134674.318139117
200,44,0.5,10,133019.604879051
200,46,0.5,10,130327.749461968
200,48,0.5,10,130570.433827333
200,50,0.5,10,131548.562102434
200,10,0.6,10,153255.554320273
200,12,0.6,10,147007.532883167
200,14,0.6,10,144711.015570962
200,16,0.6,10,143623.857307338
200,18,0.6,10,141400.947730608
200,20,0.6,10,141429.01373679
200,22,0.6,10,137558.218584182
200,24,0.6,10,134810.669853691
200,26,0.6,10,137493.509879869
200,28,0.6,10,134088.712568132
200,30,0.6,10,134742.934618305
200,32,0.6,10,134456.36462901
200,34,0.6,10,135845.044936055
200,36,0.6,10,132836.874769031
200,38,0.6,10,133593.317190462
200,40,0.6,10,132847.079850037
200,42,0.6,10,131647.759801608
200,44,0.6,10,131808.151250458
200,46,0.6,10,128491.212135301
200,48,0.6,10,132583.314991954
200,50,0.6,10,130218.603827545
200,10,0.7,10,148160.807675475
200,12,0.7,10,143237.057779044
200,14,0.7,10,141612.97513236
200,16,0.7,10,141144.042404765
200,18,0.7,10,139986.898681824
200,20,0.7,10,140331.94371409
200,22,0.7,10,139248.915000957
200,24,0.7,10,138788.372987196
200,26,0.7,10,134447.190080436
200,28,0.7,10,134297.261280066
200,30,0.7,10,136804.989663213
200,32,0.7,10,130760.199731273
200,34,0.7,10,132311.313368346
200,36,0.7,10,134494.378823328
200,38,0.7,10,128979.149210569
200,40,0.7,10,130571.201506602
200,42,0.7,10,132500.385406567
200,44,0.7,10,129387.728487084
200,46,0.7,10,127066.661698582
200,48,0.7,10,129528.868704003
200,50,0.7,10,129769.936155681
200,10,0.8,10,149517.601730506
200,12,0.8,10,144856.859819432
200,14,0.8,10,142019.063413942
200,16,0.8,10,139305.114899211
200,18,0.8,10,135038.575544826
200,20,0.8,10,132946.392176478
200,22,0.8,10,140717.571113072
200,24,0.8,10,136945.135331534
200,26,0.8,10,132301.60067164
200,28,0.8,10,132884.610133446
200,30,0.8,10,131938.603305346
200,32,0.8,10,132441.879950777
200,34,0.8,10,134053.368652483
200,36,0.8,10,132548.246375178
200,38,0.8,10,131429.991244195
200,40,0.8,10,131587.85086388
200,42,0.8,10,127538.322057619
200,44,0.8,10,129859.473137458
200,46,0.8,10,128959.91813905
200,48,0.8,10,129554.760468747
200,50,0.8,10,129102.383211206
200,10,0.9,10,143115.712829576
200,12,0.9,10,144097.30733258
200,14,0.9,10,144366.458104522
200,16,0.9,10,137260.730014988
200,18,0.9,10,138499.641633842
200,20,0.9,10,135865.277364375
200,22,0.9,10,136154.789605038
200,24,0.9,10,132462.297145861
200,26,0.9,10,133607.455736215
200,28,0.9,10,133767.405916715
200,30,0.9,10,133443.164027539
200,32,0.9,10,130712.401949101
200,34,0.9,10,130522.644211535
200,36,0.9,10,131336.646781233
200,38,0.9,10,130150.763924084
200,40,0.9,10,129628.397075936
200,42,0.9,10,124774.677530759
200,44,0.9,10,126372.910792173
200,46,0.9,10,129587.376343526
200,48,0.9,10,126790.451954187
200,50,0.9,10,125430.860309051
200,10,1,10,148326.881138652
200,12,1,10,145702.551865114
200,14,1,10,141464.914594282
200,16,1,10,139640.718185395
200,18,1,10,133509.034097799
200,20,1,10,136880.428149791
200,22,1,10,133778.106463505
200,24,1,10,136180.727258132
200,26,1,10,132787.361412844
200,28,1,10,132312.60383832
200,30,1,10,131829.34452146
200,32,1,10,128314.009634728
200,34,1,10,132625.105052714
200,36,1,10,133559.088879274
200,38,1,10,128970.357586169
200,40,1,10,128890.844920478
200,42,1,10,125467.356946035
200,44,1,10,130339.692502589
200,46,1,10,127434.876749983
200,48,1,10,126163.001516486
200,50,1,10,126614.159241391
200,10,0.5,12,152370.307642863
200,12,0.5,12,149163.823563158
200,14,0.5,12,145379.585939344
200,16,0.5,12,145477.881309575
200,18,0.5,12,146693.673673823
200,20,0.5,12,142111.05080523
200,22,0.5,12,140342.525482141
200,24,0.5,12,138825.143335946
200,26,0.5,12,139580.987549813
200,28,0.5,12,136042.513076328
200,30,0.5,12,141953.325370642
200,32,0.5,12,135055.586048494
200,34,0.5,12,135880.273969175
200,36,0.5,12,135202.897999026
200,38,0.5,12,134289.098672673
200,40,0.5,12,134278.846490349
200,42,0.5,12,132468.863312398
200,44,0.5,12,133829.276618516
200,46,0.5,12,134404.338891955
200,48,0.5,12,133353.690073715
200,50,0.5,12,130384.948969353
200,10,0.6,12,153717.220627523
200,12,0.6,12,144884.30729163
200,14,0.6,12,144984.535845414
200,16,0.6,12,143991.35806852
200,18,0.6,12,142795.450713546
200,20,0.6,12,141756.143168186
200,22,0.6,12,140003.826671156
200,24,0.6,12,138046.211589598
200,26,0.6,12,134002.425030931
200,28,0.6,12,136963.864364341
200,30,0.6,12,134500.331135193
200,32,0.6,12,135286.611857372
200,34,0.6,12,133716.437951274
200,36,0.6,12,133864.353839756
200,38,0.6,12,134271.850051828
200,40,0.6,12,133530.668990953
200,42,0.6,12,131899.788003814
200,44,0.6,12,131472.838085598
200,46,0.6,12,128643.548100412
200,48,0.6,12,129928.978525033
200,50,0.6,12,128268.393176322
200,10,0.7,12,148468.679914197
200,12,0.7,12,148465.999412918
200,14,0.7,12,146552.32670874
200,16,0.7,12,139336.148414541
200,18,0.7,12,140370.03852056
200,20,0.7,12,140896.178443912
200,22,0.7,12,137792.382091739
200,24,0.7,12,138841.10903616
200,26,0.7,12,134962.157475288
200,28,0.7,12,134185.591641717
200,30,0.7,12,132407.030002726
200,32,0.7,12,131911.852590285
200,34,0.7,12,133174.736447338
200,36,0.7,12,129317.331641919
200,38,0.7,12,133225.30193882
200,40,0.7,12,130912.511107081
200,42,0.7,12,130804.3377619
200,44,0.7,12,130621.268602171
200,46,0.7,12,130315.275182546
200,48,0.7,12,129008.466894156
200,50,0.7,12,126863.765825876
200,10,0.8,12,146928.785105026
200,12,0.8,12,146405.366637423
200,14,0.8,12,142076.097419919
200,16,0.8,12,141166.588558872
200,18,0.8,12,142639.743724308
200,20,0.8,12,138300.982035183
200,22,0.8,12,134065.629017779
200,24,0.8,12,138834.454137879
200,26,0.8,12,133561.462485823
200,28,0.8,12,131855.449867452
200,30,0.8,12,133283.970264491
200,32,0.8,12,133689.488345542
200,34,0.8,12,132825.36496626
200,36,0.8,12,130271.698211336
200,38,0.8,12,132215.384379744
200,40,0.8,12,132436.557037311
200,42,0.8,12,130080.287417041
200,44,0.8,12,128031.07524853
200,46,0.8,12,128432.561073157
200,48,0.8,12,126726.553440934
200,50,0.8,12,127214.580051267
200,10,0.9,12,146480.78788532
200,12,0.9,12,139277.944411998
200,14,0.9,12,141289.729087806
200,16,0.9,12,141252.884458096
200,18,0.9,12,138185.247504983
200,20,0.9,12,136444.389806028
200,22,0.9,12,134455.603739113
200,24,0.9,12,138244.656939414
200,26,0.9,12,132637.699791466
200,28,0.9,12,132223.797505338
200,30,0.9,12,133412.479775863
200,32,0.9,12,131098.291636115
200,34,0.9,12,131704.562702803
200,36,0.9,12,129469.754081408
200,38,0.9,12,129669.325394073
200,40,0.9,12,130640.578590121
200,42,0.9,12,128961.335161899
200,44,0.9,12,127560.618667258
200,46,0.9,12,126864.992378073
200,48,0.9,12,125559.815879104
200,50,0.9,12,126757.507370186
200,10,1,12,144208.587014947
200,12,1,12,142093.903647839
200,14,1,12,141715.003667841
200,16,1,12,143188.694933761
200,18,1,12,138635.00085475
200,20,1,12,136092.107486867
200,22,1,12,133579.427894248
200,24,1,12,135676.121244866
200,26,1,12,132662.874133852
200,28,1,12,134235.559643487
200,30,1,12,131087.635846696
200,32,1,12,130734.345373566
200,34,1,12,132511.125607664
200,36,1,12,129508.001586753
200,38,1,12,126336.561301912
200,40,1,12,125977.096341663
200,42,1,12,129237.177214436
200,44,1,12,128163.69062754
200,46,1,12,125936.666540745
200,48,1,12,129659.649944757
200,50,1,12,124001.86083521
